Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days:Policy-Accident,Days:Policy-Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange-Claim,NumberOfCars,Year,BasePolicy,FraudFound
7,4,2,2,0,1,7,5,0,0,38,0,0,2,5,16,16,400,1,4,3,0,5,5,0,0,0,0,0,0,1994,0,No
3,4,4,2,0,3,4,1,0,1,41,0,2,0,5,17,15,400,4,4,3,0,6,5,0,0,0,0,0,0,1994,2,No
6,5,0,4,0,3,7,1,1,1,28,1,1,0,1,18,6,400,1,4,3,0,6,4,0,0,0,1,0,0,1994,1,No
4,4,4,5,0,1,4,5,0,0,32,0,0,2,1,19,6,400,1,4,3,1,6,4,0,0,0,0,0,0,1994,0,No
3,4,1,0,0,2,4,1,0,1,30,1,0,2,5,20,2,400,2,4,3,2,5,4,0,0,0,3,0,0,1994,0,No
3,2,5,3,0,2,4,1,0,1,40,0,0,2,1,21,3,400,1,4,3,1,7,5,0,0,0,3,0,0,1994,0,No
0,2,6,4,0,1,0,2,0,1,47,0,1,0,1,22,13,400,2,4,3,1,7,6,0,0,0,0,4,1,1994,1,No
7,3,0,3,0,4,7,5,0,1,63,0,0,2,1,23,8,400,3,4,3,1,7,7,0,0,0,1,0,0,1994,0,No
5,3,6,5,0,2,5,3,0,0,31,1,0,2,2,24,5,400,3,4,3,0,5,4,0,0,0,2,0,0,1994,0,No
8,3,5,3,0,5,8,3,0,1,45,0,2,0,5,25,12,400,3,4,3,3,7,5,1,0,0,0,0,0,1994,2,No
2,3,1,5,0,2,3,1,0,1,60,0,0,2,1,26,16,400,4,4,3,3,7,7,0,0,0,0,0,0,1994,0,No
2,3,4,0,0,4,5,4,0,1,21,0,1,0,2,27,1,400,2,4,3,3,4,3,0,0,0,3,0,0,1994,1,No
4,3,0,6,0,5,4,4,0,1,42,0,2,0,2,28,1,400,3,4,3,2,6,5,0,0,0,1,0,0,1994,2,No
6,1,6,0,0,2,8,4,0,0,0,0,2,0,5,29,9,400,1,4,3,0,0,0,0,0,0,0,0,0,1994,2,Yes
4,3,1,3,0,3,4,4,1,1,39,0,1,0,1,30,12,400,3,4,3,0,6,5,0,0,0,0,0,0,1994,1,No
2,2,5,7,0,6,2,2,0,1,47,0,1,0,2,31,2,400,1,4,3,2,7,6,0,0,1,0,0,0,1994,1,No
2,1,0,0,0,2,2,2,0,0,0,0,1,0,5,32,6,400,1,4,3,1,0,0,0,0,0,0,0,0,1994,1,No
2,2,3,4,0,3,2,2,0,0,42,0,1,0,1,33,2,400,3,4,3,3,6,5,0,0,0,2,0,0,1994,1,No
0,4,1,0,0,2,0,4,0,0,30,1,1,0,1,34,2,400,4,4,3,0,5,4,0,0,0,1,0,0,1994,1,No
0,4,2,2,0,3,0,4,0,1,42,0,5,1,5,35,12,400,1,4,3,2,6,5,0,0,0,0,0,0,1994,2,No
9,2,3,4,0,4,9,2,0,0,34,1,0,2,1,36,5,400,3,4,3,2,6,4,0,0,0,3,0,0,1994,0,No
9,2,2,0,0,4,9,3,0,1,30,1,1,0,1,37,11,400,4,4,3,0,5,4,0,0,0,3,0,0,1994,1,No
8,2,5,3,0,5,8,3,0,0,27,0,1,0,2,38,4,400,2,4,3,0,6,4,0,0,0,3,0,0,1994,1,No
10,4,2,0,0,4,10,4,0,1,55,0,7,2,5,39,12,400,1,4,3,0,7,6,0,0,0,0,0,0,1994,1,No
10,4,4,1,0,2,0,1,0,1,35,0,1,0,1,40,1,400,3,4,3,0,6,4,0,0,0,1,0,0,1994,1,No
2,4,3,4,0,3,3,1,1,1,35,0,1,0,1,41,11,400,1,4,3,2,5,4,0,0,0,3,0,0,1994,1,No
2,3,5,5,0,3,2,4,0,1,44,0,2,0,1,42,15,400,1,4,3,2,6,5,0,0,0,2,0,2,1994,2,No
6,1,1,1,0,1,6,1,1,0,42,0,0,2,1,43,12,400,4,4,3,0,3,5,0,0,0,0,4,1,1994,0,No
0,3,2,0,0,1,0,4,0,1,41,0,1,0,1,44,5,400,2,4,3,2,6,5,0,0,0,1,0,0,1994,1,No
0,3,3,1,0,3,0,4,0,1,72,1,1,0,1,45,16,400,1,4,3,0,7,8,0,0,0,0,0,0,1994,1,No
1,2,3,5,0,4,1,2,1,1,29,1,2,0,0,46,8,400,3,4,3,2,4,4,0,0,0,0,0,0,1994,2,No
1,2,4,5,0,1,1,3,0,0,32,1,1,0,2,47,9,400,4,4,3,0,5,4,0,0,1,0,0,0,1994,1,No
10,4,4,3,0,5,10,4,0,1,37,0,0,2,2,48,13,400,3,4,3,2,4,5,0,0,0,3,0,0,1994,0,No
3,3,4,4,0,4,4,1,1,1,37,0,0,2,5,49,10,400,1,4,3,2,5,5,0,0,0,2,0,0,1994,0,No
3,3,5,5,0,2,3,3,0,1,59,0,1,0,1,50,9,400,4,4,3,3,7,7,0,0,0,2,0,0,1994,1,No
4,4,5,5,0,5,4,4,0,1,49,0,0,2,2,51,14,400,2,4,3,3,7,6,0,0,0,0,0,0,1994,0,No
5,4,3,5,0,5,5,4,0,1,27,0,0,2,1,52,4,500,3,4,3,2,5,4,0,0,0,2,3,0,1994,0,No
6,3,0,0,1,3,0,4,0,1,21,0,7,2,5,53,4,400,4,4,3,0,3,3,0,0,0,2,0,0,1994,1,Yes
6,4,6,0,0,3,7,2,0,1,50,0,1,0,1,54,13,400,1,4,3,0,7,6,0,0,0,2,0,0,1994,1,Yes
5,4,2,5,0,2,5,4,0,0,45,0,1,0,2,55,8,400,1,4,3,1,6,5,0,0,0,1,0,0,1994,1,No
11,3,1,3,0,3,11,3,0,1,49,1,2,0,1,56,7,400,4,4,3,0,7,6,0,0,0,2,0,0,1994,2,No
5,4,5,0,0,4,5,5,0,0,30,0,2,0,1,57,5,400,4,4,3,2,5,4,0,0,0,0,0,0,1994,2,No
10,2,5,6,0,1,10,2,0,0,37,0,1,0,5,58,11,400,3,4,3,2,6,5,0,0,0,0,0,0,1994,1,No
4,1,1,0,1,3,4,4,0,0,0,0,0,2,5,59,15,400,4,4,3,0,0,0,0,0,0,0,0,0,1994,0,No
4,1,3,4,0,1,4,2,1,0,27,0,1,0,1,60,4,400,4,4,3,0,5,4,0,0,0,1,0,0,1994,1,No
10,1,1,1,0,1,10,3,0,0,30,0,2,0,2,61,5,400,4,4,3,0,4,4,0,0,0,0,0,0,1994,2,No
8,2,2,5,0,5,0,4,0,1,49,0,4,1,3,62,6,400,4,4,3,0,7,6,0,0,0,0,0,0,1994,1,No
10,4,0,0,0,5,0,3,0,0,0,1,2,0,5,63,3,400,2,4,3,2,0,0,0,0,0,0,0,0,1994,2,No
1,5,1,1,0,2,2,1,0,1,26,0,0,2,1,64,13,400,3,4,3,2,6,4,0,0,0,3,4,1,1994,0,No
11,1,5,5,0,2,11,2,0,0,48,0,1,0,1,65,1,400,1,4,3,0,6,6,0,0,0,0,0,0,1994,1,No
11,4,5,3,0,1,0,2,0,0,31,0,2,0,1,66,6,400,3,4,3,0,6,4,0,0,0,0,0,0,1994,2,No
2,3,5,8,0,5,2,3,0,0,40,1,1,0,5,67,16,400,2,4,3,1,6,5,0,0,0,3,0,0,1994,1,No
7,4,4,3,0,1,7,5,0,1,65,0,0,2,2,68,12,400,1,4,3,2,7,7,0,0,0,3,0,0,1994,0,No
0,1,0,1,0,2,0,1,0,1,64,0,1,0,1,69,5,400,1,4,3,1,7,7,0,0,0,0,0,0,1994,1,No
0,1,0,0,0,3,0,1,0,1,55,0,0,2,1,70,12,400,2,4,3,2,6,6,0,0,0,3,0,0,1994,0,No
0,1,0,0,0,3,0,1,0,0,44,0,1,0,1,71,16,400,1,4,3,2,6,5,0,0,0,2,0,0,1994,1,No
0,1,2,3,0,4,0,1,0,1,27,0,1,0,1,72,9,400,3,4,3,1,5,4,0,0,0,1,0,0,1994,1,No
8,4,4,4,0,1,0,5,1,0,28,1,1,0,1,73,5,400,3,3,3,1,4,4,0,0,0,0,0,0,1994,1,No
0,1,1,0,0,2,0,1,0,1,47,1,1,0,1,74,7,400,2,4,3,1,7,6,0,0,0,3,0,0,1994,1,No
3,5,6,3,0,2,4,1,0,1,60,1,1,0,5,75,12,400,3,4,3,3,6,7,0,0,0,3,0,0,1994,1,No
7,1,6,2,0,3,7,4,0,1,33,1,1,0,2,76,9,400,4,4,3,3,5,4,0,0,0,0,0,0,1994,1,No
9,4,2,4,0,1,0,1,0,1,27,1,2,0,1,77,1,400,3,4,3,0,5,4,0,0,0,0,0,0,1994,2,No
1,2,5,0,0,2,1,3,1,1,47,1,7,2,5,78,12,400,3,4,3,0,7,6,0,0,0,0,0,0,1994,1,No
1,2,5,9,1,2,1,3,1,0,29,0,0,2,2,79,16,400,1,4,3,2,4,4,0,0,0,2,0,0,1994,0,No
1,4,6,1,0,5,2,1,1,1,33,1,1,0,2,80,10,400,1,4,3,2,6,4,0,0,0,3,0,0,1994,1,No
0,3,3,5,0,3,0,3,0,1,38,0,0,2,1,81,13,400,4,4,3,2,5,5,0,0,0,0,0,0,1994,0,No
0,3,4,3,0,5,0,4,0,0,37,1,0,2,1,82,6,400,2,4,3,1,6,5,0,0,0,0,0,0,1994,0,No
11,2,5,4,0,4,3,3,0,1,36,1,2,0,5,83,13,400,4,4,3,0,6,5,0,0,0,0,0,2,1994,2,No
10,5,2,1,0,5,1,1,1,1,44,0,0,2,1,84,9,400,4,4,3,0,5,5,0,0,0,1,0,0,1994,0,No
11,1,3,0,0,1,0,1,0,0,0,0,0,2,5,85,6,400,2,4,3,3,0,0,0,0,0,0,4,1,1994,0,No
11,2,2,4,1,2,2,1,0,1,27,0,3,1,5,86,4,400,4,4,3,1,5,4,0,0,0,3,0,0,1994,0,No
4,4,2,1,0,3,4,4,0,0,27,0,1,0,1,87,14,400,3,4,3,1,5,4,0,0,0,3,0,0,1994,1,No
4,4,0,3,0,3,4,4,0,0,39,1,2,0,1,88,1,400,2,4,3,2,3,5,0,0,0,3,0,0,1994,2,No
9,5,6,5,0,1,9,5,0,1,74,1,2,0,2,89,13,400,4,4,3,0,6,8,0,0,0,2,0,0,1994,2,No
9,4,0,0,0,1,9,4,0,0,23,0,0,2,1,90,8,400,2,4,3,2,3,3,0,0,0,0,0,0,1994,0,No
9,4,0,0,0,2,9,4,1,0,25,1,7,2,5,91,2,400,1,4,3,0,5,3,0,0,0,3,0,0,1994,1,No
0,2,3,5,0,3,0,2,0,0,38,0,0,2,1,92,13,400,2,4,3,3,6,5,0,0,0,2,2,0,1994,0,No
0,2,4,0,0,1,0,4,0,1,41,0,2,0,2,93,16,400,1,4,3,2,6,5,0,0,0,0,0,0,1994,2,No
7,4,6,5,0,1,7,5,0,1,38,0,1,0,1,94,13,700,3,4,3,2,6,5,0,0,0,3,0,0,1994,1,No
10,2,4,0,0,5,0,3,0,0,34,0,7,2,5,95,7,400,3,4,3,0,6,4,0,0,0,2,0,0,1994,1,Yes
4,2,2,0,0,4,4,2,0,1,61,1,1,0,2,96,15,400,4,4,3,0,7,7,0,0,0,3,0,0,1994,1,No
10,2,5,1,0,2,0,1,0,1,38,0,1,0,1,97,7,400,2,4,3,1,6,5,0,0,0,0,0,0,1994,1,Yes
0,3,4,1,0,1,0,4,0,0,40,0,2,0,0,98,4,400,4,4,3,1,6,5,0,0,0,0,0,0,1994,2,No
10,3,1,5,0,3,0,4,0,1,41,1,2,0,1,99,12,400,4,4,3,2,6,5,0,0,0,0,0,0,1994,2,No
0,4,5,5,0,1,0,5,0,1,36,0,2,0,1,100,10,400,1,4,3,1,6,5,0,0,0,0,0,0,1994,2,No
10,3,2,4,0,3,0,2,0,1,31,0,5,1,5,101,2,400,1,4,3,3,6,4,0,0,0,3,0,0,1994,2,Yes
0,5,6,5,0,1,0,5,1,1,35,1,2,0,1,102,10,400,4,4,3,1,5,4,0,0,0,0,0,0,1994,2,No
0,4,5,2,0,1,1,1,1,1,37,0,2,0,5,103,14,500,2,4,3,2,5,5,1,0,0,2,0,0,1994,2,No
0,1,4,3,0,2,0,2,0,1,55,0,2,0,1,104,14,400,3,4,3,0,7,6,0,0,0,3,0,0,1994,2,No
0,1,2,5,0,4,0,1,0,0,31,1,2,0,1,105,12,400,4,4,3,2,6,4,0,0,0,1,0,0,1994,2,No
11,3,5,7,0,6,11,3,0,1,28,0,0,2,5,106,5,400,1,4,3,0,6,4,0,0,0,1,4,1,1994,0,No
7,1,1,3,0,4,7,1,0,1,28,0,1,0,1,107,11,400,2,4,3,2,6,4,0,0,0,0,0,0,1994,1,No
10,4,0,5,0,4,3,2,0,1,44,1,2,0,1,108,11,400,1,4,3,0,6,5,0,0,0,0,0,0,1994,2,No
5,1,4,4,0,4,9,4,0,1,47,0,2,0,1,109,1,400,1,4,3,1,7,6,0,0,0,0,0,0,1994,2,No
2,1,4,0,0,5,2,1,0,1,40,0,0,2,1,110,16,400,4,4,3,0,5,5,0,0,0,0,0,0,1994,0,No
4,2,2,1,0,5,8,1,0,0,23,0,1,0,1,111,4,400,2,4,3,2,4,3,0,0,0,0,0,0,1994,1,No
4,2,1,5,0,4,4,2,0,0,31,0,2,0,1,112,6,400,3,4,3,2,5,4,0,0,0,0,0,0,1994,2,No
10,4,4,0,0,4,11,5,0,1,35,1,2,0,1,113,9,400,1,4,3,0,5,4,0,0,0,0,0,0,1994,2,No
10,4,4,6,1,2,0,2,0,1,56,0,5,1,5,114,10,400,2,4,3,0,7,7,0,0,0,0,0,0,1994,2,Yes
11,4,1,4,0,3,0,1,0,1,50,1,1,0,1,115,2,400,3,4,3,1,7,6,0,0,0,3,0,0,1994,1,No
11,2,2,0,0,3,0,2,0,0,16,1,7,2,5,116,2,400,1,4,3,2,3,1,0,0,0,2,0,0,1994,1,No
10,5,2,5,0,2,10,5,0,1,32,1,1,0,2,117,12,400,2,4,3,1,6,4,0,1,0,3,0,0,1994,1,No
7,2,1,5,0,2,7,5,0,0,28,0,0,2,1,118,4,400,3,4,3,2,5,4,0,0,0,2,0,0,1994,0,No
10,5,1,3,0,3,11,1,0,0,68,0,2,0,1,119,9,400,3,4,3,2,4,8,0,0,0,0,0,0,1994,2,Yes
11,1,5,0,1,5,11,3,0,0,0,0,2,0,5,120,7,400,3,4,3,0,0,0,0,0,0,0,0,0,1994,2,Yes
1,1,5,0,1,5,2,3,0,0,0,0,2,0,5,121,8,400,3,4,3,0,0,0,0,0,0,0,0,0,1994,2,No
9,2,3,0,1,1,9,3,1,1,18,1,7,2,5,122,12,400,4,4,3,0,1,2,0,0,0,1,0,0,1994,1,No
5,3,1,5,0,1,5,3,0,0,30,0,1,0,5,123,2,400,1,4,3,3,5,4,0,0,0,1,0,0,1994,1,No
3,4,2,0,0,2,3,4,0,1,51,0,1,0,1,124,1,400,4,4,3,3,7,6,0,0,0,0,0,2,1994,1,No
1,2,0,1,0,1,1,2,0,0,22,1,2,0,2,125,6,400,3,4,3,0,5,3,0,0,0,2,0,0,1994,2,No
1,2,6,5,0,1,1,2,1,1,26,0,0,2,1,126,16,400,4,4,3,2,6,4,0,0,0,3,0,0,1994,0,No
0,4,6,7,0,1,2,1,0,1,53,0,1,0,2,127,15,400,2,4,3,0,7,6,1,0,0,0,4,1,1994,1,No
0,4,0,3,0,2,0,5,0,1,38,0,0,2,2,128,13,400,3,4,3,2,6,5,0,0,0,3,0,0,1994,0,No
0,4,0,4,1,1,0,4,0,1,27,1,0,2,2,129,9,400,3,4,3,3,5,4,0,1,0,0,0,0,1994,0,No
10,4,1,0,0,2,10,4,0,0,29,0,1,0,1,130,14,400,3,4,3,2,6,4,0,0,0,2,0,0,1994,1,No
6,2,5,5,0,5,6,2,0,0,32,0,1,0,1,131,10,400,1,4,3,3,4,4,0,0,0,3,0,0,1994,1,No
3,4,4,0,0,5,3,4,0,0,18,1,1,0,1,132,14,400,3,4,3,0,2,2,0,0,0,3,0,0,1994,1,No
9,3,4,5,0,4,9,4,0,1,60,1,1,0,1,133,6,400,4,4,3,2,7,7,0,0,0,1,0,0,1994,1,No
9,3,5,2,0,5,9,3,0,1,53,0,1,0,5,134,12,400,3,4,3,0,7,6,0,0,0,3,0,0,1994,1,No
3,1,2,0,0,5,3,2,0,0,29,0,1,0,1,135,16,400,4,4,3,1,5,4,0,0,0,1,0,0,1994,1,No
2,2,0,5,0,1,2,2,0,1,29,0,1,0,1,136,6,400,2,4,3,1,6,4,0,0,0,3,0,0,1994,1,No
2,2,1,1,0,2,2,4,0,1,41,1,1,0,1,137,9,400,4,4,3,1,6,5,0,0,0,3,0,0,1994,1,No
1,4,1,1,0,3,2,1,0,1,29,0,2,0,1,138,9,400,4,4,3,0,6,4,0,0,0,3,0,0,1994,2,No
11,4,3,8,0,4,0,1,0,1,42,0,2,0,1,139,2,400,2,4,3,3,6,5,0,0,0,0,0,0,1994,2,No
9,5,5,1,0,5,1,1,0,1,34,0,2,0,0,140,9,400,2,4,3,0,6,4,0,0,0,1,0,0,1994,2,No
6,3,1,0,0,2,6,3,0,1,51,0,7,2,5,141,11,400,4,4,3,1,7,6,0,0,0,2,0,0,1994,1,No
5,4,1,5,0,2,6,1,0,1,32,0,2,0,1,142,3,400,4,4,3,1,5,4,0,0,0,2,0,0,1994,2,No
1,5,1,4,0,5,2,1,0,1,52,0,0,2,1,143,10,400,4,4,3,0,7,6,0,0,1,2,0,3,1994,0,No
1,3,4,1,0,5,1,3,0,1,61,0,1,0,1,144,8,400,2,4,3,2,7,7,0,0,0,0,0,0,1994,1,No
1,3,3,1,1,5,1,4,0,0,25,1,0,2,1,145,1,400,4,4,3,2,4,3,0,0,0,2,0,0,1994,0,No
10,1,4,3,0,5,10,1,0,1,41,0,2,0,2,146,6,400,1,4,3,0,6,5,0,0,0,0,0,0,1994,2,No
8,3,6,3,0,2,8,3,0,0,33,1,0,2,2,147,10,400,1,4,3,0,5,4,0,0,0,0,0,0,1994,0,No
11,1,1,1,1,2,4,3,0,1,39,0,2,0,2,148,1,400,3,4,3,0,7,5,0,0,0,3,1,1,1994,2,Yes
5,1,2,6,0,4,5,2,0,0,30,0,1,0,2,149,13,400,1,4,3,0,5,4,0,0,0,0,0,0,1994,1,No
4,4,1,3,0,1,4,4,0,2,50,0,1,0,1,150,15,400,4,4,3,0,7,6,0,0,0,0,0,0,1994,1,No
0,2,1,5,0,5,0,2,1,1,31,1,1,0,1,151,8,400,1,4,3,2,6,4,0,0,0,3,0,0,1994,1,No
0,2,2,5,0,2,0,2,0,0,23,0,0,2,2,152,8,400,4,4,3,3,4,3,0,0,0,2,0,0,1994,0,No
0,2,2,5,0,5,0,2,0,0,31,1,0,2,2,153,10,400,3,4,3,1,6,4,0,0,0,1,0,0,1994,0,No
8,4,2,0,0,1,9,1,0,1,50,1,2,0,1,154,2,500,3,4,3,2,6,6,0,0,0,3,3,0,1994,2,No
0,5,6,0,0,1,0,5,1,0,33,1,0,2,1,155,8,400,3,4,3,2,5,4,0,0,0,0,0,0,1994,0,No
0,5,0,6,0,2,1,1,0,1,30,0,0,2,2,156,6,400,2,4,3,3,5,4,0,0,0,2,0,0,1994,0,No
0,5,1,3,0,4,1,1,0,1,44,0,1,0,3,157,13,400,1,4,3,3,7,5,0,0,0,0,0,0,1994,1,No
0,4,3,4,0,2,1,4,0,1,46,0,2,0,5,158,13,400,2,4,3,1,6,6,0,0,0,3,0,0,1994,2,No
0,5,6,0,0,3,1,1,0,0,31,0,0,2,1,159,11,400,4,4,3,2,5,4,0,0,0,2,0,0,1994,0,No
0,5,5,0,0,5,0,5,0,1,48,0,0,2,1,160,5,400,3,4,3,2,7,6,0,0,0,0,0,0,1994,0,No
11,2,5,4,0,5,0,2,0,1,33,0,2,0,5,161,12,400,3,4,3,0,5,4,0,0,0,0,0,0,1994,2,Yes
0,4,2,0,0,3,0,4,0,0,0,0,0,2,5,162,3,400,1,4,3,2,0,0,0,0,0,0,0,0,1994,0,No
0,4,5,4,0,3,0,4,1,0,37,1,0,2,5,163,5,400,3,4,3,1,6,5,0,0,0,1,0,0,1994,0,No
0,4,5,1,0,4,0,4,0,1,43,1,2,0,0,164,3,400,3,4,3,0,6,5,0,0,0,0,0,0,1994,2,No
0,2,3,1,0,1,0,4,1,1,32,1,1,0,2,165,14,400,1,4,3,3,3,4,0,0,0,1,0,2,1994,1,No
0,2,4,1,0,4,0,2,0,1,57,0,0,2,1,166,4,400,1,4,3,2,7,7,0,0,0,2,0,0,1994,0,No
0,3,5,0,0,1,0,3,0,1,65,1,2,0,1,167,8,400,2,4,3,1,7,7,0,0,0,0,0,0,1994,2,No
9,2,6,1,0,1,9,2,1,0,27,0,1,0,1,168,12,400,4,4,3,0,5,4,0,0,0,1,0,0,1994,1,No
4,4,5,10,1,3,6,2,0,1,42,0,5,1,5,169,6,400,4,4,3,2,7,5,0,0,0,0,4,1,1994,2,No
4,3,4,0,0,1,4,4,0,1,57,0,0,2,1,170,7,400,1,4,3,2,7,7,0,0,0,3,0,0,1994,0,No
2,4,5,5,0,3,2,5,0,0,32,0,2,0,1,171,2,400,3,4,3,0,6,4,0,0,0,3,0,0,1994,2,No
2,1,6,3,0,1,2,3,0,0,29,0,0,2,1,172,7,400,2,4,3,2,6,4,0,0,0,3,0,0,1994,0,No
1,2,1,11,0,2,1,4,0,1,36,0,1,0,2,173,2,400,4,4,3,0,6,5,0,0,0,0,0,0,1994,1,No
1,2,1,1,0,1,1,2,0,0,28,0,0,2,2,174,2,400,4,4,3,2,5,4,0,0,0,1,0,0,1994,0,No
1,1,1,0,0,2,1,2,1,0,32,0,2,0,0,175,14,400,1,4,3,1,5,4,0,0,0,1,0,0,1994,2,No
1,1,0,4,0,4,1,2,0,0,33,0,2,0,1,176,1,400,2,4,3,0,5,4,0,0,0,0,0,0,1994,2,No
1,2,2,12,0,3,1,2,0,1,37,0,2,0,2,177,1,400,2,4,3,2,7,5,0,0,0,2,0,0,1994,2,No
0,5,2,0,0,3,1,1,1,0,26,0,0,2,1,178,16,400,3,4,3,3,5,4,0,0,0,3,0,0,1994,0,No
0,3,0,4,0,3,0,3,0,1,53,0,2,0,1,179,5,400,1,4,3,1,7,6,0,0,0,1,0,0,1994,2,No
0,3,6,8,1,2,0,3,0,1,53,1,2,0,1,180,12,400,3,4,3,1,7,6,0,0,0,0,0,0,1994,2,No
0,3,1,2,0,2,0,3,0,1,74,0,2,0,0,181,8,400,4,4,3,2,7,8,0,0,0,1,0,0,1994,2,No
5,3,2,5,0,4,6,4,0,1,50,0,1,0,1,182,3,400,2,4,3,1,6,6,0,0,0,0,0,0,1994,1,No
5,2,4,3,0,5,5,2,0,0,27,1,2,0,1,183,3,400,4,4,3,0,5,4,0,0,0,0,2,0,1994,2,No
11,2,0,1,0,2,1,1,0,1,48,1,2,0,1,184,7,400,1,4,3,3,7,6,0,0,0,3,0,0,1994,2,No
0,1,0,4,0,2,0,1,1,0,55,1,2,0,1,185,2,400,2,4,3,0,6,6,0,0,0,2,0,0,1994,2,No
0,1,0,5,0,3,0,1,0,1,48,0,2,0,1,186,10,400,4,4,3,0,7,6,0,0,0,3,0,0,1994,2,No
0,1,1,0,0,3,0,2,0,0,0,1,0,2,5,187,8,400,4,4,3,2,0,0,0,0,0,0,0,0,1994,0,No
11,5,4,5,0,5,0,2,0,1,54,1,0,2,1,188,10,400,4,4,3,1,6,6,0,0,0,0,0,0,1994,0,No
0,1,6,4,0,1,0,1,0,1,36,0,0,2,2,189,14,400,1,4,3,3,6,5,0,0,0,3,0,0,1994,0,No
11,2,1,3,0,1,0,1,0,1,43,0,2,0,2,190,10,400,2,4,3,2,7,5,0,0,0,0,4,1,1994,2,Yes
11,5,5,3,0,2,0,1,0,1,41,0,1,0,2,191,1,400,4,4,3,0,7,5,0,0,0,2,0,0,1994,1,No
1,4,2,1,0,3,1,4,0,1,48,0,2,0,1,192,6,400,2,4,3,2,7,6,0,0,0,2,0,0,1994,2,No
11,3,2,4,0,1,0,2,0,1,26,0,5,1,5,193,14,400,2,4,3,0,5,4,0,0,0,1,0,0,1994,2,Yes
1,2,0,1,0,1,1,3,1,1,43,0,2,0,1,194,1,400,3,4,3,0,5,5,0,0,0,0,0,0,1994,2,No
11,3,4,0,0,1,0,1,0,1,39,0,7,2,5,195,13,400,3,4,3,0,7,5,0,0,0,0,0,0,1994,1,Yes
1,1,5,4,0,3,1,2,0,1,49,1,1,0,2,196,4,400,3,4,3,1,7,6,0,0,0,3,0,0,1994,1,No
1,1,6,0,0,1,9,3,0,1,37,1,1,0,2,197,14,400,3,4,3,2,6,5,0,0,0,0,0,0,1994,1,No
7,1,3,3,0,4,8,2,0,1,36,1,1,0,1,198,1,400,3,4,3,2,6,5,0,0,0,3,0,0,1994,1,No
2,1,0,5,0,5,2,2,1,1,52,0,2,0,1,199,4,400,4,4,3,2,5,6,0,0,0,3,0,0,1994,2,No
11,4,6,5,0,1,0,2,0,1,29,1,2,0,0,200,16,400,4,4,3,0,5,4,0,0,0,1,0,0,1994,2,No
